ENST00000414501	ENSG00000150048	CLEC1A
ENST00000394240	ENSG00000256904	A2ML1-AS2
ENST00000355819	ENSG00000197992	CLEC9A
ENST00000544751	ENSG00000197992	CLEC9A
ENST00000538482	ENSG00000197992	CLEC9A
ENST00000261349	ENSG00000070018	LRP6
ENST00000538239	ENSG00000070018	LRP6
ENST00000540527	ENSG00000070018	LRP6
ENST00000543091	ENSG00000070018	LRP6
ENST00000540415	ENSG00000070018	LRP6
ENST00000545658	ENSG00000070018	LRP6
ENST00000535731	ENSG00000070018	LRP6
ENST00000639256	ENSG00000284327	ENSG00000284327
ENST00000477936	ENSG00000243830	ENSG00000243830
ENST00000329913	ENSG00000184344	GDF3
ENST00000539408	ENSG00000139112	GABARAPL1
ENST00000542722	ENSG00000139112	GABARAPL1
ENST00000545859	ENSG00000139112	GABARAPL1
ENST00000266458	ENSG00000139112	GABARAPL1
ENST00000421801	ENSG00000139112	GABARAPL1
ENST00000544284	ENSG00000139112	GABARAPL1
ENST00000545047	ENSG00000139112	GABARAPL1
ENST00000541453	ENSG00000139112	GABARAPL1
ENST00000543602	ENSG00000139112	GABARAPL1
ENST00000540424	ENSG00000139112	GABARAPL1
ENST00000537201	ENSG00000139112	GABARAPL1
ENST00000545887	ENSG00000139112	GABARAPL1
ENST00000541960	ENSG00000139112	GABARAPL1
ENST00000539289	ENSG00000139112	GABARAPL1
ENST00000546017	ENSG00000139112	GABARAPL1
ENST00000535576	ENSG00000139112	GABARAPL1
ENST00000539170	ENSG00000139112	GABARAPL1
ENST00000545290	ENSG00000139112	GABARAPL1
ENST00000629504	ENSG00000139112	GABARAPL1
ENST00000544546	ENSG00000227760	ENSG00000227760
ENST00000539347	ENSG00000198134	PTMAP9
ENST00000543572	ENSG00000255819	KLRC4-KLRK1
ENST00000539300	ENSG00000255819	KLRC4-KLRK1
ENST00000543812	ENSG00000255819	KLRC4-KLRK1
ENST00000585711	ENSG00000255819	KLRC4-KLRK1
ENST00000586581	ENSG00000255819	KLRC4-KLRK1
ENST00000591546	ENSG00000255819	KLRC4-KLRK1
ENST00000590131	ENSG00000255819	KLRC4-KLRK1
ENST00000588263	ENSG00000255819	KLRC4-KLRK1
ENST00000588447	ENSG00000255819	KLRC4-KLRK1
ENST00000590323	ENSG00000255819	KLRC4-KLRK1
ENST00000539370	ENSG00000255819	KLRC4-KLRK1
ENST00000585507	ENSG00000255819	KLRC4-KLRK1
ENST00000591937	ENSG00000255819	KLRC4-KLRK1
ENST00000533382	ENSG00000255356	ENSG00000255356
ENST00000539089	ENSG00000255829	ENSG00000255829
ENST00000544922	ENSG00000255829	ENSG00000255829
ENST00000544747	ENSG00000134539	KLRD1
ENST00000540271	ENSG00000134539	KLRD1
ENST00000381908	ENSG00000134539	KLRD1
ENST00000538997	ENSG00000134539	KLRD1
ENST00000543420	ENSG00000134539	KLRD1
ENST00000543777	ENSG00000134539	KLRD1
ENST00000344825	ENSG00000134539	KLRD1
ENST00000539374	ENSG00000134539	KLRD1
ENST00000539792	ENSG00000134539	KLRD1
ENST00000336164	ENSG00000134539	KLRD1
ENST00000350274	ENSG00000134539	KLRD1
ENST00000320756	ENSG00000111196	MAGOHB
ENST00000398874	ENSG00000111196	MAGOHB
ENST00000539554	ENSG00000111196	MAGOHB
ENST00000544850	ENSG00000111196	MAGOHB
ENST00000537852	ENSG00000111196	MAGOHB
ENST00000540074	ENSG00000111196	MAGOHB
ENST00000545236	ENSG00000111196	MAGOHB
ENST00000543929	ENSG00000111196	MAGOHB
ENST00000546173	ENSG00000111196	MAGOHB
ENST00000544176	ENSG00000111196	MAGOHB
ENST00000625272	ENSG00000111196	MAGOHB
ENST00000603334	ENSG00000270863	DDX55P1
ENST00000439409	ENSG00000214487	OR7E148P
ENST00000621330	ENSG00000278635	ENSG00000278635
ENST00000542152	ENSG00000256657	ENSG00000256657
ENST00000537175	ENSG00000256238	SUPT16HP1
ENST00000545424	ENSG00000256751	PLBD1-AS1
ENST00000542401	ENSG00000256751	PLBD1-AS1
ENST00000660979	ENSG00000256751	PLBD1-AS1
ENST00000417799	ENSG00000256331	NIFKP3
ENST00000309539	ENSG00000173391	OLR1
ENST00000544577	ENSG00000173391	OLR1
ENST00000543993	ENSG00000173391	OLR1
ENST00000545927	ENSG00000173391	OLR1
ENST00000432556	ENSG00000173391	OLR1
ENST00000536989	ENSG00000173391	OLR1
ENST00000539518	ENSG00000173391	OLR1
ENST00000538745	ENSG00000173391	OLR1
ENST00000339968	ENSG00000173391	OLR1
ENST00000538873	ENSG00000173391	OLR1
ENST00000543414	ENSG00000173391	OLR1
ENST00000667941	ENSG00000287713	ENSG00000287713
ENST00000382064	ENSG00000166527	CLEC4D
ENST00000299665	ENSG00000166527	CLEC4D
ENST00000481703	ENSG00000242991	RPL7P40
ENST00000279550	ENSG00000060138	YBX3
ENST00000228251	ENSG00000060138	YBX3
ENST00000540447	ENSG00000060138	YBX3
ENST00000540975	ENSG00000060138	YBX3
ENST00000546164	ENSG00000060138	YBX3
ENST00000536823	ENSG00000060138	YBX3
ENST00000366286	ENSG00000060138	YBX3
ENST00000542002	ENSG00000060138	YBX3
ENST00000366290	ENSG00000060138	YBX3
ENST00000542641	ENSG00000060138	YBX3
ENST00000541351	ENSG00000060138	YBX3
ENST00000544504	ENSG00000060138	YBX3
ENST00000539204	ENSG00000060138	YBX3
ENST00000544622	ENSG00000060138	YBX3
ENST00000546298	ENSG00000060138	YBX3
ENST00000544501	ENSG00000060138	YBX3
ENST00000536107	ENSG00000060138	YBX3
ENST00000540747	ENSG00000060138	YBX3
ENST00000479743	ENSG00000242661	RPS3AP43
ENST00000444513	ENSG00000256211	SKP1P2
ENST00000674316	ENSG00000151490	PTPRO
ENST00000674391	ENSG00000151490	PTPRO
ENST00000674186	ENSG00000151490	PTPRO
ENST00000674188	ENSG00000151490	PTPRO
ENST00000281171	ENSG00000151490	PTPRO
ENST00000543886	ENSG00000151490	PTPRO
ENST00000348962	ENSG00000151490	PTPRO
ENST00000674261	ENSG00000151490	PTPRO
ENST00000545023	ENSG00000151490	PTPRO
ENST00000674483	ENSG00000151490	PTPRO
ENST00000674286	ENSG00000151490	PTPRO
ENST00000674388	ENSG00000151490	PTPRO
ENST00000542557	ENSG00000151490	PTPRO
ENST00000445537	ENSG00000151490	PTPRO
ENST00000544244	ENSG00000151490	PTPRO
ENST00000442921	ENSG00000151490	PTPRO
ENST00000544706	ENSG00000151490	PTPRO
ENST00000674220	ENSG00000151490	PTPRO
ENST00000535311	ENSG00000151490	PTPRO
ENST00000674352	ENSG00000151490	PTPRO
ENST00000674392	ENSG00000151490	PTPRO
ENST00000674354	ENSG00000151490	PTPRO
ENST00000674385	ENSG00000151490	PTPRO
ENST00000538907	ENSG00000151490	PTPRO
ENST00000674434	ENSG00000151490	PTPRO
ENST00000535322	ENSG00000151490	PTPRO
ENST00000229304	ENSG00000111701	APOBEC1
ENST00000467171	ENSG00000111701	APOBEC1
ENST00000353231	ENSG00000172243	CLEC7A
ENST00000534609	ENSG00000172243	CLEC7A
ENST00000529761	ENSG00000172243	CLEC7A
ENST00000298523	ENSG00000172243	CLEC7A
ENST00000396484	ENSG00000172243	CLEC7A
ENST00000304084	ENSG00000172243	CLEC7A
ENST00000465100	ENSG00000172243	CLEC7A
ENST00000349926	ENSG00000172243	CLEC7A
ENST00000533022	ENSG00000172243	CLEC7A
ENST00000531192	ENSG00000172243	CLEC7A
ENST00000528799	ENSG00000172243	CLEC7A
ENST00000310002	ENSG00000172243	CLEC7A
ENST00000525605	ENSG00000172243	CLEC7A
ENST00000499291	ENSG00000247157	LINC01252
ENST00000545239	ENSG00000247157	LINC01252
ENST00000541162	ENSG00000247157	LINC01252
ENST00000667189	ENSG00000247157	LINC01252
ENST00000665563	ENSG00000247157	LINC01252
ENST00000612592	ENSG00000275119	ENSG00000275119
ENST00000535902	ENSG00000111261	MANSC1
ENST00000396349	ENSG00000111261	MANSC1
ENST00000545735	ENSG00000111261	MANSC1
ENST00000543314	ENSG00000111261	MANSC1
ENST00000538329	ENSG00000256084	ENSG00000256084
ENST00000667547	ENSG00000286303	ENSG00000286303
ENST00000538349	ENSG00000255790	ENSG00000255790
ENST00000542062	ENSG00000255790	ENSG00000255790
ENST00000539178	ENSG00000255790	ENSG00000255790
ENST00000540635	ENSG00000255790	ENSG00000255790
ENST00000653546	ENSG00000255790	ENSG00000255790
ENST00000539033	ENSG00000255641	ENSG00000255641
ENST00000237841	ENSG00000118976	OTUD4P1
ENST00000406003	ENSG00000255734	HNRNPABP1
ENST00000545761	ENSG00000255973	ENSG00000255973
ENST00000544461	ENSG00000226091	LINC00937
ENST00000537659	ENSG00000226091	LINC00937
ENST00000539348	ENSG00000226091	LINC00937
ENST00000420040	ENSG00000226091	LINC00937
ENST00000536560	ENSG00000226091	LINC00937
ENST00000538304	ENSG00000226091	LINC00937
ENST00000536539	ENSG00000226091	LINC00937
ENST00000614160	ENSG00000274551	ENSG00000274551
ENST00000497462	ENSG00000244131	RPSAP51
ENST00000538284	ENSG00000256626	ENSG00000256626
ENST00000389362	ENSG00000121335	PRB2
ENST00000545829	ENSG00000121335	PRB2
ENST00000565533	ENSG00000121335	PRB2
ENST00000535911	ENSG00000256155	LINC02598
ENST00000299698	ENSG00000166535	A2ML1
ENST00000537546	ENSG00000166535	A2ML1
ENST00000541459	ENSG00000166535	A2ML1
ENST00000536789	ENSG00000166535	A2ML1
ENST00000539547	ENSG00000166535	A2ML1
ENST00000545692	ENSG00000166535	A2ML1
ENST00000540049	ENSG00000166535	A2ML1
ENST00000545850	ENSG00000166535	A2ML1
ENST00000537475	ENSG00000166535	A2ML1
ENST00000472093	ENSG00000242405	ENSG00000242405
ENST00000544148	ENSG00000256627	ENSG00000256627
ENST00000540992	ENSG00000256450	ENSG00000256450
ENST00000075503	ENSG00000060140	STYK1
ENST00000542924	ENSG00000060140	STYK1
ENST00000542562	ENSG00000060140	STYK1
ENST00000538867	ENSG00000060140	STYK1
ENST00000535345	ENSG00000060140	STYK1
ENST00000541561	ENSG00000060140	STYK1
ENST00000261192	ENSG00000060982	BCAT1
ENST00000538118	ENSG00000060982	BCAT1
ENST00000342945	ENSG00000060982	BCAT1
ENST00000539282	ENSG00000060982	BCAT1
ENST00000543099	ENSG00000060982	BCAT1
ENST00000539780	ENSG00000060982	BCAT1
ENST00000544418	ENSG00000060982	BCAT1
ENST00000612790	ENSG00000060982	BCAT1
ENST00000546285	ENSG00000060982	BCAT1
ENST00000355164	ENSG00000060982	BCAT1
ENST00000240618	ENSG00000213809	KLRK1
ENST00000540267	ENSG00000213809	KLRK1
ENST00000544449	ENSG00000213809	KLRK1
ENST00000540818	ENSG00000213809	KLRK1
ENST00000396451	ENSG00000213809	KLRK1
ENST00000537614	ENSG00000257016	SLC25A39P2
ENST00000453927	ENSG00000237303	HIGD1AP8
ENST00000545978	ENSG00000256157	ENSG00000256157
ENST00000541191	ENSG00000211455	STK38L
ENST00000389032	ENSG00000211455	STK38L
ENST00000545470	ENSG00000211455	STK38L
ENST00000544367	ENSG00000211455	STK38L
ENST00000539863	ENSG00000211455	STK38L
ENST00000434385	ENSG00000211455	STK38L
ENST00000540996	ENSG00000211455	STK38L
ENST00000546286	ENSG00000211455	STK38L
ENST00000543246	ENSG00000211455	STK38L
ENST00000544969	ENSG00000211455	STK38L
ENST00000407753	ENSG00000211455	STK38L
ENST00000536093	ENSG00000211455	STK38L
ENST00000543992	ENSG00000211455	STK38L
ENST00000344941	ENSG00000188991	SLC15A5
ENST00000545370	ENSG00000256004	ENSG00000256004
ENST00000261195	ENSG00000111713	GYS2
ENST00000544399	ENSG00000256256	ENSG00000256256
ENST00000542728	ENSG00000165714	BORCS5
ENST00000314565	ENSG00000165714	BORCS5
ENST00000543990	ENSG00000165714	BORCS5
ENST00000298571	ENSG00000165714	BORCS5
ENST00000279575	ENSG00000230657	PRB4
ENST00000445719	ENSG00000230657	PRB4
ENST00000621732	ENSG00000230657	PRB4
ENST00000604544	ENSG00000270857	ENSG00000270857
ENST00000536371	ENSG00000008394	MGST1
ENST00000534835	ENSG00000008394	MGST1
ENST00000543076	ENSG00000008394	MGST1
ENST00000396210	ENSG00000008394	MGST1
ENST00000539036	ENSG00000008394	MGST1
ENST00000537878	ENSG00000008394	MGST1
ENST00000542256	ENSG00000008394	MGST1
ENST00000539708	ENSG00000008394	MGST1
ENST00000535309	ENSG00000008394	MGST1
ENST00000540056	ENSG00000008394	MGST1
ENST00000540126	ENSG00000008394	MGST1
ENST00000538885	ENSG00000008394	MGST1
ENST00000396207	ENSG00000008394	MGST1
ENST00000538857	ENSG00000008394	MGST1
ENST00000535624	ENSG00000008394	MGST1
ENST00000624056	ENSG00000008394	MGST1
ENST00000359720	ENSG00000008394	MGST1
ENST00000010404	ENSG00000008394	MGST1
ENST00000396209	ENSG00000008394	MGST1
ENST00000478056	ENSG00000241451	RPS27P22
ENST00000541892	ENSG00000256564	ENSG00000256564
ENST00000382073	ENSG00000205846	CLEC6A
ENST00000647960	ENSG00000285854	ENSG00000285854
ENST00000648372	ENSG00000285854	ENSG00000285854
ENST00000345088	ENSG00000187569	DPPA3
ENST00000541815	ENSG00000255749	GNAI2P1
ENST00000325349	ENSG00000213235	EEF1A1P16
ENST00000480485	ENSG00000241828	ENSG00000241828
ENST00000543498	ENSG00000257062	ENSG00000257062
ENST00000593147	ENSG00000257062	ENSG00000257062
ENST00000585342	ENSG00000257062	ENSG00000257062
ENST00000590779	ENSG00000257062	ENSG00000257062
ENST00000592513	ENSG00000257062	ENSG00000257062
ENST00000536492	ENSG00000256237	ENSG00000256237
ENST00000543604	ENSG00000256973	ENSG00000256973
ENST00000501248	ENSG00000246115	SUPT4H1P2
ENST00000400706	ENSG00000226210	WASH8P
ENST00000614709	ENSG00000278654	ENSG00000278654
ENST00000549055	ENSG00000257262	ENSG00000257262
ENST00000494341	ENSG00000243141	RPL23AP66
ENST00000545713	ENSG00000256756	TIMM17BP1
ENST00000334266	ENSG00000186136	TAS2R42
ENST00000542742	ENSG00000256371	LRRC34P1
ENST00000552843	ENSG00000257237	ENSG00000257237
ENST00000649143	ENSG00000285724	ENSG00000285724
ENST00000671686	ENSG00000285724	ENSG00000285724
ENST00000655998	ENSG00000285724	ENSG00000285724
ENST00000537293	ENSG00000256923	ENSG00000256923
ENST00000535764	ENSG00000255910	ENSG00000255910
ENST00000665730	ENSG00000255910	ENSG00000255910
ENST00000659346	ENSG00000255910	ENSG00000255910
ENST00000659620	ENSG00000255910	ENSG00000255910
ENST00000654522	ENSG00000255910	ENSG00000255910
ENST00000553029	ENSG00000258144	LINC02406
ENST00000662938	ENSG00000258144	LINC02406
ENST00000668449	ENSG00000258144	LINC02406
ENST00000659930	ENSG00000258144	LINC02406
ENST00000538830	ENSG00000256987	ENSG00000256987
ENST00000228567	ENSG00000110975	SYT10
ENST00000539102	ENSG00000110975	SYT10
ENST00000567656	ENSG00000110975	SYT10
ENST00000603103	ENSG00000270807	ENSG00000270807
ENST00000281172	ENSG00000151491	EPS8
ENST00000543468	ENSG00000151491	EPS8
ENST00000543523	ENSG00000151491	EPS8
ENST00000644374	ENSG00000151491	EPS8
ENST00000646918	ENSG00000151491	EPS8
ENST00000642939	ENSG00000151491	EPS8
ENST00000645775	ENSG00000151491	EPS8
ENST00000646828	ENSG00000151491	EPS8
ENST00000647224	ENSG00000151491	EPS8
ENST00000642278	ENSG00000151491	EPS8
ENST00000646123	ENSG00000151491	EPS8
ENST00000647087	ENSG00000151491	EPS8
ENST00000543612	ENSG00000151491	EPS8
ENST00000540613	ENSG00000151491	EPS8
ENST00000542903	ENSG00000151491	EPS8
ENST00000545610	ENSG00000151491	EPS8
ENST00000541465	ENSG00000151491	EPS8
ENST00000535734	ENSG00000151491	EPS8
ENST00000546261	ENSG00000151491	EPS8
ENST00000508018	ENSG00000151491	EPS8
ENST00000536956	ENSG00000151491	EPS8
ENST00000546311	ENSG00000151491	EPS8
ENST00000535752	ENSG00000151491	EPS8
ENST00000543363	ENSG00000151491	EPS8
ENST00000536793	ENSG00000151491	EPS8
ENST00000544064	ENSG00000151491	EPS8
ENST00000545999	ENSG00000151491	EPS8
ENST00000653361	ENSG00000286566	ENSG00000286566
ENST00000536820	ENSG00000256896	PSMC1P8
ENST00000538430	ENSG00000255983	ENSG00000255983
ENST00000345127	ENSG00000139174	PRICKLE1
ENST00000639589	ENSG00000139174	PRICKLE1
ENST00000445766	ENSG00000139174	PRICKLE1
ENST00000640132	ENSG00000139174	PRICKLE1
ENST00000455697	ENSG00000139174	PRICKLE1
ENST00000640840	ENSG00000139174	PRICKLE1
ENST00000640055	ENSG00000139174	PRICKLE1
ENST00000639958	ENSG00000139174	PRICKLE1
ENST00000548696	ENSG00000139174	PRICKLE1
ENST00000639566	ENSG00000139174	PRICKLE1
ENST00000552240	ENSG00000139174	PRICKLE1
ENST00000640361	ENSG00000139174	PRICKLE1
ENST00000640946	ENSG00000139174	PRICKLE1
ENST00000552108	ENSG00000139174	PRICKLE1
ENST00000640801	ENSG00000139174	PRICKLE1
ENST00000551050	ENSG00000139174	PRICKLE1
ENST00000547113	ENSG00000139174	PRICKLE1
ENST00000640646	ENSG00000139174	PRICKLE1
ENST00000639414	ENSG00000139174	PRICKLE1
ENST00000552200	ENSG00000139174	PRICKLE1
ENST00000639588	ENSG00000139174	PRICKLE1
ENST00000416739	ENSG00000111224	PARP11
ENST00000427057	ENSG00000111224	PARP11
ENST00000458162	ENSG00000111224	PARP11
ENST00000228820	ENSG00000111224	PARP11
ENST00000476985	ENSG00000111224	PARP11
ENST00000453942	ENSG00000111224	PARP11
ENST00000450737	ENSG00000111224	PARP11
ENST00000447133	ENSG00000111224	PARP11
