gene_id	gene_name	H27	H45	H91	H74	H2	H47	H56	H87	FDR	log2FC
ENSG00000002016	RAD52	6.510574995354153	5.61915348703504	5.756677300356679	6.454724888601408	6.080974992575288	5.717231545213192	6.903965025700727	5.081973027145721	0.8752536195646392	-0.13924652017808814
ENSG00000003056	M6PR	11.08642073406086	11.25680201123672	10.974813272730879	11.046558928011851	10.032101939442052	9.864734206800735	9.503699787307488	9.540325741352236	0.007173235865210674	-1.3559333177844515
ENSG00000004478	FKBP4	6.445237239727115	6.093606933909764	6.515577405041887	6.270853320745717	6.454724888601408	5.3157719746661805	6.265209042400453	6.227950244141135	0.5874013718275591	-0.2654046874038265
ENSG00000004700	RECQL	8.862110631625963	8.99089783269366	7.623718180125893	8.83174324278323	8.63071112824262	8.302581527256777	7.917185294325394	7.8588856411249495	0.5374352713015633	-0.399776574069751
ENSG00000005175	RPAP3	7.928430984079304	7.872395716779388	8.224092591277541	7.923887221987142	8.021120360867315	8.148454714696133	7.587270471323488	7.8936230210932825	0.7899313468012086	-0.0745844865357892
ENSG00000006831	ADIPOR2	8.270808830420433	7.9336329636989	8.165097075300041	7.684561504940106	8.005305410946525	8.37253484535308	8.038846126552976	8.141702488043329	0.6636771724350082	0.12607212413410807
ENSG00000008394	MGST1	6.157914704777289	5.836655604387091	7.645315541761508	6.407001780277324	7.836960545774944	7.0424569754137005	7.0193724924135665	7.17644817139222	0.31758113574286634	0.7570876384478051
ENSG00000008405	CRY1	6.179889033927053	6.148543173410743	5.6527934544279095	6.197857832258901	5.990435334270043	5.78675080301431	6.319573845006623	5.794317018857693	0.8465278681308637	-0.07200162321898418
ENSG00000010219	DYRK4	7.853999447060265	7.673955388016803	8.406352665194756	6.577131147057203	7.40937210884457	7.215092233374886	6.27628057321358	7.034918490892342	0.4083059541128149	-0.6439438102509127
ENSG00000010278	CD9	7.226828036060847	8.472593999783719	8.03285937518415	7.696910927154702	8.924180383823956	8.571966559791434	6.515577405041887	8.583680220476653	0.8064470419465429	0.2915530577376284
ENSG00000010292	NCAPD2	7.731139018129262	7.372296778774653	8.793951459075004	7.705773909667217	7.5839779321695415	8.353413798093829	8.03285937518415	8.021120360867315	0.8861036101488764	0.09705257516717491
ENSG00000010295	IFFO1	6.491732550115467	6.288946023318868	5.894909668541069	6.4406051240296325	6.5919514840469375	7.003174428286835	6.925019508071195	6.921665783264475	0.07471723144079954	0.5814044594161016
ENSG00000010379	SLC6A13	0	2.4771812025315296	5.2540545329056885	3.7418524445912795	3.709061322189984	3.1557994962559093	4.75287055445171	4.15137926574591	0.6093063414365665	1.0740056146537542
ENSG00000010610	CD4	8.165097075300041	8.399340502786584	7.963199238662363	8.978146231434918	7.079548578337704	7.210037024837689	7.189230560093402	7.01332000998599	0.02069593815390582	-1.2534117187322806
ENSG00000010626	LRRC23	5.433562883607864	6.084566403906722	4.868127344658927	5.760373306448468	5.18360670591862	5.894909668541069	5.3062741488039435	5.448255772269646	0.8916707679834776	-0.07839591077217545
ENSG00000011105	TSPAN9	4.716047348616071	4.449164034040467	7.497404652913491	3.760476070647396	4.234218381195377	4.667604486902052	3.4754578985342173	4.678875237190378	0.5886222307126397	-0.8417340255988499
ENSG00000011465	DCN	2.7130358948619406	2.9785421644190127	3.349046096262096	2.941405784667443	3.107569452999783	0	0	0	0.12268563328952382	-2.218615121802677
ENSG00000012822	CALCOCO1	9.57664319984382	9.961139949651203	10.472983704401399	10.369164799117565	9.797553870648429	10.580628788123049	10.667477628400766	10.563087121366355	0.5485419362617844	0.3072039388811536
ENSG00000013503	POLR3B	5.692240320822354	6.505332594923832	6.759594888619756	6.991583996832946	5.4638099373211135	5.817415602556036	5.429237713454487	5.6259351677271985	0.10827701731487355	-0.9030883450350133
ENSG00000013573	DDX11	6.801808917317925	5.291790057073303	6.583978042137346	6.99770552545642	6.510574995354153	6.222945683784014	6.00438802273694	6.4406051240296325	0.876882959984225	-0.12419217902006441
ENSG00000013583	HEBP1	5.18360670591862	5.102400178279843	5.700547718549628	6.72910986939538	5.302006443821078	6.00186107606006	5.9115153232595405	6.491732550115467	0.7716374540029843	0.24786273027816907
ENSG00000013588	GPRC5A	0	2.0769538326727215	4.370626298007069	0	2.834067051453468	0	0	0	0.7022742704718028	-0.9033782698065808
ENSG00000015153	YAF2	8.954046113579302	8.687687104410525	8.245654981271265	8.63071112824262	8.872095927938885	8.739463759994676	8.316600448079848	8.316600448079848	0.8632312189942335	-0.06833468585261393
ENSG00000017427	IGF1	0	2.7178069382284487	3.394316299725408	0	2.782519462603917	2.8789052012881933	2.788447912534003	4.21265328935386	0.3199220753778456	1.6376006569565296
ENSG00000022840	RNF10	12.791660413755121	11.956280922983046	11.75508054196544	12.344920102230324	11.698772768322389	11.842008937191894	12.0225961766132	12.060256843985801	0.4702354143743635	-0.3060768137051628
ENSG00000023697	DERA	7.40937210884457	7.514565766459614	7.40937210884457	7.124786912902227	8.294491490949971	7.405505514700963	7.743526059822873	7.718447999437994	0.23097883092532012	0.4259685419652053
ENSG00000023734	STRAP	7.7366204923629525	7.263315647596804	5.366519919867949	7.727250768716212	7.746840498773591	7.349609294318528	6.661582654570365	6.8620523167657534	0.9078375856354347	0.13159448397107987
ENSG00000025423	HSD17B6	4.104164186636963	3.014281303857352	0.9075180314938919	2.959705621907726	3.184989266698911	0	2.986992128697299	3.131032542482403	0.8396201122887661	-0.42066380150433025
